Species Name,Scientific Name,Current Population,Population Decline Rate (%),Habitat Loss (%),Climate Threat Level (1-10),Poaching Threat Level (1-10),Conservation Efforts,Protected Area Coverage (%),Extinction Probability (0-100%)
Hainan Gibbon,Panthera pardus orientalis,4791,5.56,23.51,9,1,High,61.84,30.91
Amur Leopard,Pseudoryx nghetinhensis,2809,24.33,22.38,2,9,Low,79.85,76.53
Hooded Grebe,Rafetus swinhoei,1007,6.99,71.78,3,1,High,49.66,26.49
Vaquita,Rhinoceros sondaicus,415,5.43,31.32,9,8,Medium,75.55,47.85
Mountain Gorilla,Rhinoceros sondaicus,2858,8.69,40.06,5,5,Medium,79.89,39.89
Javan Rhino,Rhinoceros sondaicus,253,12.66,68.4,8,8,High,37.61,80.06
Hainan Gibbon,Ambystoma mexicanum,2424,16.62,24.36,7,7,High,55.15,20.19
Vaquita,Podiceps gallardoi,3866,6.64,52.54,6,9,Medium,20.99,29.12
Pangolin,Phocoena sinus,1615,17.47,83.43,2,2,High,40.67,27.82
Saola,Panthera pardus orientalis,442,11.2,54.31,4,9,High,10.88,45.13
Javan Rhino,Pholidota,4288,11.86,13.91,9,5,High,7.19,38.37
Vaquita,Podiceps gallardoi,2816,25.55,57.18,7,5,Low,71.97,38.03
Vaquita,Rhinoceros sondaicus,1151,29.67,17.21,3,1,High,69.38,49.26
Saola,Nomascus hainanus,4136,16.6,32.57,6,6,Low,28.4,36.91
Hainan Gibbon,Rhinoceros sondaicus,3034,13.04,77.97,8,3,Medium,39.27,28.39
Vaquita,Nomascus hainanus,1182,28.29,10.89,8,3,Medium,42.02,66.08
Javan Rhino,Gorilla beringei beringei,3466,17.51,16.16,8,3,Medium,44.05,95.19
Amur Leopard,Ambystoma mexicanum,4207,23.26,39.07,8,4,High,15.09,67.97
Vaquita,Rafetus swinhoei,1105,15.34,89.95,6,9,Medium,63.13,79.8
Vaquita,Panthera pardus orientalis,3915,10.06,33.35,3,8,Low,31.09,96.8
Vaquita,Panthera pardus orientalis,2862,21.37,22.58,9,6,Low,7.38,32.1
Axolotl,Pholidota,2465,21.62,53.95,3,8,High,55.74,56.32
Javan Rhino,Pseudoryx nghetinhensis,3933,16.5,51.54,4,8,Low,67.24,65.97
Mountain Gorilla,Pholidota,1400,11.75,45.97,1,1,Low,73.86,45.45
Vaquita,Gorilla beringei beringei,4935,25.8,85.73,2,9,Medium,55.58,68.44
Pangolin,Podiceps gallardoi,2846,11.88,32.41,6,1,Low,19.35,69.28
Saola,Pholidota,627,21.48,33.47,1,2,Medium,49.23,86.54
Saola,Panthera pardus orientalis,2606,14.6,21.22,9,9,Medium,73.38,85.77
Axolotl,Ambystoma mexicanum,4396,16.81,65.78,8,7,Low,31.29,31.26
Hooded Grebe,Gorilla beringei beringei,2479,10.29,35.71,2,1,Low,76.5,33.34
Pangolin,Rafetus swinhoei,4286,21.24,74.22,2,3,High,12.33,37.57
Pangolin,Pholidota,2712,10.65,87.74,8,1,High,59.6,40.64
Javan Rhino,Nomascus hainanus,3175,17.14,13.49,8,5,Low,13.99,64.59
Hainan Gibbon,Ambystoma mexicanum,269,13.21,89.45,1,4,Medium,64.92,45.87
Amur Leopard,Phocoena sinus,3188,29.09,30.33,5,8,Medium,12.32,95.28
Javan Rhino,Panthera pardus orientalis,2301,29.56,43.61,2,9,High,29.43,29.35
Vaquita,Rhinoceros sondaicus,4440,23.84,72.22,1,4,Medium,63.26,39.47
Axolotl,Rafetus swinhoei,1056,29.6,63.23,3,3,High,39.51,88.6
Saola,Panthera pardus orientalis,4376,7.84,72.27,3,4,Medium,71.2,66.16
Mountain Gorilla,Gorilla beringei beringei,4067,29.81,47.31,9,3,Low,35.13,63.25
Axolotl,Nomascus hainanus,3221,7.59,83.29,1,6,Low,79.62,66.95
Hooded Grebe,Pholidota,1417,15.39,73.2,2,1,Medium,6.4,39.93
Yangtze Giant Softshell Turtle,Gorilla beringei beringei,1410,10.97,34.74,9,2,High,57.2,80.15
Vaquita,Ambystoma mexicanum,1019,28.85,85.88,5,8,Low,73.69,59.23
Axolotl,Nomascus hainanus,3416,20.89,86.88,9,3,High,45.2,23.37
Javan Rhino,Rhinoceros sondaicus,3612,19.93,43.2,6,4,Low,79.14,34.0
Hooded Grebe,Pseudoryx nghetinhensis,4237,29.94,62.16,3,1,Medium,58.1,84.51
Hainan Gibbon,Pholidota,2825,20.31,75.18,8,3,Low,37.21,47.26
Javan Rhino,Rafetus swinhoei,1754,21.15,75.38,9,1,Medium,43.65,81.1
Hooded Grebe,Panthera pardus orientalis,2558,6.12,11.13,2,5,High,70.81,72.41
Javan Rhino,Nomascus hainanus,1555,26.48,60.32,9,1,Low,76.82,43.82
Saola,Pholidota,144,29.25,87.9,4,9,High,46.69,30.04
Javan Rhino,Rafetus swinhoei,4872,29.01,28.51,8,7,High,28.04,83.75
Amur Leopard,Podiceps gallardoi,2869,10.53,73.65,5,8,Medium,22.95,70.8
Vaquita,Gorilla beringei beringei,3488,10.65,52.74,6,9,High,40.78,43.76
Mountain Gorilla,Panthera pardus orientalis,4875,14.15,27.72,4,8,Low,27.23,61.34
Vaquita,Phocoena sinus,2151,12.76,14.08,5,3,Medium,36.56,68.34
Mountain Gorilla,Podiceps gallardoi,1274,12.64,70.79,1,7,Medium,67.59,20.17
Mountain Gorilla,Rafetus swinhoei,1782,20.13,35.32,3,7,Medium,40.4,72.97
Mountain Gorilla,Podiceps gallardoi,174,25.14,40.05,4,7,High,53.07,71.83
Amur Leopard,Pholidota,4430,28.42,48.82,1,8,Low,11.76,26.52
Saola,Nomascus hainanus,2997,6.7,50.58,3,4,Low,62.16,82.23
Yangtze Giant Softshell Turtle,Phocoena sinus,629,11.95,26.49,4,6,Low,41.22,85.18
Axolotl,Pseudoryx nghetinhensis,240,11.38,63.65,9,2,Medium,32.07,42.92
Vaquita,Nomascus hainanus,2790,13.94,65.4,3,7,Medium,50.82,32.81
Javan Rhino,Pseudoryx nghetinhensis,3161,15.61,21.38,3,9,Low,12.65,74.23
Hooded Grebe,Rafetus swinhoei,1387,14.73,52.63,4,5,High,36.05,29.74
Axolotl,Rhinoceros sondaicus,1901,28.8,58.74,9,4,Medium,65.82,87.79
Mountain Gorilla,Nomascus hainanus,3762,15.93,24.9,9,2,Low,24.65,57.93
Mountain Gorilla,Rafetus swinhoei,3982,18.79,81.56,1,7,High,73.56,91.87
Saola,Pholidota,3242,23.72,48.63,8,2,Medium,50.27,70.73
Pangolin,Pseudoryx nghetinhensis,412,23.13,19.2,1,2,Medium,45.56,42.52
Pangolin,Rafetus swinhoei,2784,19.57,36.75,2,9,Medium,34.97,56.97
Axolotl,Panthera pardus orientalis,4490,26.52,48.16,5,2,Low,60.65,61.82
Amur Leopard,Pseudoryx nghetinhensis,2617,20.6,10.81,6,3,Medium,47.34,84.4
Javan Rhino,Pholidota,1200,26.87,12.55,2,3,Medium,64.74,88.09
Vaquita,Panthera pardus orientalis,398,12.57,14.44,5,2,High,29.88,73.96
Yangtze Giant Softshell Turtle,Rafetus swinhoei,3414,8.3,53.05,3,3,Low,57.65,43.24
Hainan Gibbon,Podiceps gallardoi,1783,25.49,36.89,7,9,High,75.76,61.76
Hainan Gibbon,Ambystoma mexicanum,799,14.56,81.45,1,3,Medium,25.99,30.32
Yangtze Giant Softshell Turtle,Nomascus hainanus,1504,21.28,54.74,5,5,Low,78.58,38.18
Amur Leopard,Phocoena sinus,2761,23.43,70.79,3,7,Low,35.79,43.94
Hainan Gibbon,Pholidota,1557,13.17,64.97,2,1,Medium,7.89,25.75
Yangtze Giant Softshell Turtle,Rhinoceros sondaicus,830,17.63,51.63,3,1,Low,31.83,89.91
Vaquita,Phocoena sinus,4046,27.37,69.58,4,2,Low,16.22,29.69
Mountain Gorilla,Rafetus swinhoei,4967,26.99,53.58,2,1,High,27.82,75.05
Hainan Gibbon,Panthera pardus orientalis,1489,23.73,40.84,2,1,Low,12.2,59.95
Javan Rhino,Pseudoryx nghetinhensis,2379,24.07,44.86,3,4,Low,18.37,85.71
Javan Rhino,Phocoena sinus,4075,27.44,77.08,2,3,High,14.5,78.54
Javan Rhino,Panthera pardus orientalis,3140,23.41,55.06,6,1,Medium,8.26,80.02
Mountain Gorilla,Ambystoma mexicanum,1473,13.49,40.18,2,3,High,27.21,53.05
Saola,Pseudoryx nghetinhensis,1917,8.02,24.38,1,1,Medium,75.57,85.88
Mountain Gorilla,Nomascus hainanus,3075,15.55,49.63,8,3,Medium,76.2,27.48
Mountain Gorilla,Podiceps gallardoi,3655,7.18,30.19,4,4,Medium,68.5,55.11
Mountain Gorilla,Ambystoma mexicanum,4038,7.89,86.45,2,8,High,5.91,98.57
Axolotl,Pseudoryx nghetinhensis,3975,28.75,49.28,4,3,Medium,7.11,94.9
Pangolin,Ambystoma mexicanum,4856,21.9,10.72,2,3,High,5.78,26.49
Vaquita,Nomascus hainanus,1326,26.29,17.43,5,9,High,32.5,65.27
Axolotl,Panthera pardus orientalis,191,21.07,32.75,7,9,Medium,78.52,44.94
Javan Rhino,Pseudoryx nghetinhensis,2664,15.46,17.37,6,6,Medium,72.26,77.55
Amur Leopard,Rafetus swinhoei,970,5.63,81.52,2,4,High,23.79,78.13
Saola,Pholidota,4210,28.9,78.35,4,5,High,35.76,20.01
Pangolin,Phocoena sinus,2664,6.77,87.67,8,9,Medium,66.83,86.82
Yangtze Giant Softshell Turtle,Podiceps gallardoi,3304,20.25,66.52,7,1,Medium,61.89,37.66
Amur Leopard,Gorilla beringei beringei,999,7.56,61.64,7,7,Medium,14.95,96.31
Amur Leopard,Rhinoceros sondaicus,4589,12.1,83.88,4,7,High,13.08,91.53
Amur Leopard,Panthera pardus orientalis,1735,9.65,85.71,1,1,High,45.78,35.06
Saola,Pholidota,716,18.84,80.2,7,1,High,12.66,70.27
Hooded Grebe,Rhinoceros sondaicus,4125,27.18,78.92,6,9,Medium,66.88,43.41
Hainan Gibbon,Gorilla beringei beringei,4857,20.89,63.74,8,7,Low,24.0,28.14
Yangtze Giant Softshell Turtle,Pseudoryx nghetinhensis,4340,21.6,10.13,5,4,Low,19.12,89.05
Hainan Gibbon,Ambystoma mexicanum,1630,27.72,44.36,8,9,Low,18.93,34.29
Hainan Gibbon,Pholidota,4711,23.74,60.85,8,5,Low,8.39,53.26
Mountain Gorilla,Podiceps gallardoi,4659,26.65,53.77,9,3,Low,53.14,93.01
Pangolin,Nomascus hainanus,3431,15.41,75.69,1,2,High,17.34,25.95
Yangtze Giant Softshell Turtle,Rafetus swinhoei,4691,26.63,75.51,3,9,Medium,22.5,63.5
Javan Rhino,Phocoena sinus,3590,21.15,57.89,6,4,Medium,61.35,65.2
Javan Rhino,Ambystoma mexicanum,432,8.39,11.76,4,7,Medium,9.31,80.28
Yangtze Giant Softshell Turtle,Panthera pardus orientalis,4025,5.97,39.55,8,1,Medium,20.21,85.34
Axolotl,Rhinoceros sondaicus,3206,11.1,28.31,1,9,Medium,16.2,53.51
Pangolin,Panthera pardus orientalis,4563,14.46,37.1,5,9,Low,5.36,78.75
Hooded Grebe,Panthera pardus orientalis,1924,25.94,59.38,4,6,Medium,45.45,91.92
Pangolin,Pholidota,2611,23.53,15.32,1,6,Medium,19.25,90.02
Mountain Gorilla,Nomascus hainanus,4020,28.88,11.78,6,6,Low,52.47,59.64
Javan Rhino,Rhinoceros sondaicus,4095,18.98,44.95,3,5,Medium,42.63,67.96
Vaquita,Rhinoceros sondaicus,4951,23.69,73.49,5,1,Low,55.09,73.15
Javan Rhino,Rhinoceros sondaicus,3192,11.88,12.46,6,4,Low,78.62,84.71
Axolotl,Panthera pardus orientalis,4656,21.99,77.92,4,1,High,21.49,60.11
Hooded Grebe,Pholidota,3760,22.65,40.71,6,5,Medium,54.94,28.84
Pangolin,Panthera pardus orientalis,2068,26.21,19.46,7,4,Medium,67.52,50.44
Amur Leopard,Rafetus swinhoei,1655,18.41,55.4,2,8,Medium,76.8,76.9
Javan Rhino,Rafetus swinhoei,4602,21.23,86.19,7,1,Low,51.68,69.28
Mountain Gorilla,Rhinoceros sondaicus,3097,10.08,53.4,7,8,High,14.81,79.53
Yangtze Giant Softshell Turtle,Nomascus hainanus,2802,23.42,64.93,2,8,Medium,9.04,59.5
Mountain Gorilla,Nomascus hainanus,2546,25.96,75.31,3,1,Low,25.89,33.78
Amur Leopard,Rhinoceros sondaicus,3269,19.84,73.95,3,9,Low,74.61,29.1
Yangtze Giant Softshell Turtle,Pseudoryx nghetinhensis,2521,7.89,15.85,1,9,Low,45.27,58.02
Saola,Podiceps gallardoi,2100,12.82,69.28,1,6,Low,48.45,36.25
Yangtze Giant Softshell Turtle,Rhinoceros sondaicus,4644,16.89,85.96,6,1,High,50.8,97.6
Mountain Gorilla,Pholidota,577,21.93,66.05,9,7,High,29.92,35.7
Vaquita,Pholidota,130,13.01,76.92,9,7,Low,18.62,64.78
Saola,Pholidota,325,26.01,48.84,1,9,Medium,76.57,20.14
Mountain Gorilla,Rhinoceros sondaicus,630,14.29,35.53,7,1,High,61.65,40.04
Mountain Gorilla,Pholidota,4073,6.07,64.1,6,8,Medium,43.33,40.47
Hainan Gibbon,Pholidota,463,24.85,49.38,4,8,Medium,33.25,78.3
Hooded Grebe,Gorilla beringei beringei,2744,21.11,81.62,3,7,High,41.21,59.15
Pangolin,Gorilla beringei beringei,2681,25.05,87.95,9,6,Medium,7.52,20.96
Hooded Grebe,Phocoena sinus,4717,13.72,75.58,5,1,High,23.56,49.95
Amur Leopard,Pseudoryx nghetinhensis,968,5.44,89.41,8,8,High,23.8,70.94
Mountain Gorilla,Ambystoma mexicanum,2018,6.84,37.87,4,5,Medium,38.4,70.3
Amur Leopard,Panthera pardus orientalis,4752,7.8,81.66,4,4,Medium,22.72,24.26
Javan Rhino,Pholidota,772,25.13,36.39,6,5,Low,18.91,93.38
Axolotl,Phocoena sinus,1370,12.54,19.44,6,5,High,62.41,39.51
Amur Leopard,Rafetus swinhoei,4345,29.95,59.71,3,3,Medium,72.01,90.43
Pangolin,Nomascus hainanus,2061,23.96,46.4,2,4,High,10.04,36.86
Amur Leopard,Ambystoma mexicanum,206,20.03,83.74,9,4,Low,20.72,64.86
Hainan Gibbon,Phocoena sinus,270,29.59,49.38,2,8,Low,63.03,52.08
Saola,Nomascus hainanus,3918,12.91,84.21,9,5,Low,66.19,65.93
Javan Rhino,Rhinoceros sondaicus,4199,9.14,16.29,8,6,Low,42.51,59.33
Hainan Gibbon,Pseudoryx nghetinhensis,1290,23.43,76.44,7,2,Low,57.12,20.16
Mountain Gorilla,Gorilla beringei beringei,145,11.95,70.73,5,9,Low,10.82,47.76
Hainan Gibbon,Rhinoceros sondaicus,2555,29.03,67.6,3,8,Low,68.71,20.89
Vaquita,Rhinoceros sondaicus,3495,29.7,38.41,2,8,Low,67.45,73.99
Mountain Gorilla,Phocoena sinus,378,28.16,72.7,8,5,High,57.01,87.43
Axolotl,Pseudoryx nghetinhensis,3672,28.62,48.66,2,5,Medium,73.72,50.39
Hainan Gibbon,Podiceps gallardoi,4873,20.39,67.22,8,3,High,8.57,61.46
Saola,Pholidota,3464,22.3,54.18,5,2,High,22.32,25.2
Axolotl,Pseudoryx nghetinhensis,4778,7.36,22.6,9,9,Medium,32.19,50.43
Amur Leopard,Phocoena sinus,4616,24.08,15.16,4,6,Medium,16.89,30.97
Hainan Gibbon,Nomascus hainanus,4818,10.05,39.29,8,8,Low,66.11,25.11
Javan Rhino,Ambystoma mexicanum,4925,26.01,84.62,7,4,Medium,61.79,33.59
Hooded Grebe,Nomascus hainanus,554,29.04,52.38,8,5,High,62.99,88.8
Amur Leopard,Rhinoceros sondaicus,4609,10.31,74.18,5,5,Low,26.85,97.59
Yangtze Giant Softshell Turtle,Rafetus swinhoei,3433,6.95,56.08,2,4,High,62.2,89.46
Vaquita,Rafetus swinhoei,4910,17.1,86.63,7,2,Medium,14.23,96.6
Javan Rhino,Rafetus swinhoei,4815,24.79,39.56,3,6,High,13.01,77.73
Javan Rhino,Pseudoryx nghetinhensis,2382,24.27,14.56,2,4,High,48.8,32.62
Axolotl,Podiceps gallardoi,4493,22.42,72.45,3,4,Low,8.65,64.49
Hooded Grebe,Podiceps gallardoi,4345,25.52,66.44,4,3,Low,75.4,77.8
Saola,Podiceps gallardoi,1107,9.37,52.2,7,8,High,29.66,60.56
Axolotl,Pseudoryx nghetinhensis,2088,21.3,36.11,1,6,Medium,40.78,63.82
Hooded Grebe,Panthera pardus orientalis,2536,20.14,25.06,6,9,Low,65.99,66.31
Hainan Gibbon,Podiceps gallardoi,4173,8.84,48.58,6,5,High,35.0,56.88
Vaquita,Phocoena sinus,3721,15.36,63.3,8,6,Low,37.3,42.96
Amur Leopard,Gorilla beringei beringei,3063,26.31,56.31,2,9,Low,31.1,70.32
Javan Rhino,Panthera pardus orientalis,1953,29.3,45.0,2,4,Medium,31.38,24.23
Saola,Nomascus hainanus,1729,21.64,53.18,1,7,High,40.1,33.5
Axolotl,Rafetus swinhoei,300,28.05,18.64,3,6,High,75.94,93.1
Vaquita,Panthera pardus orientalis,3699,8.3,65.67,7,6,High,75.2,58.62
Amur Leopard,Pholidota,984,29.38,68.74,8,6,High,45.89,84.91
Vaquita,Pseudoryx nghetinhensis,424,5.84,10.92,7,4,High,39.2,77.4
Javan Rhino,Panthera pardus orientalis,860,18.18,31.64,9,6,Low,65.61,45.34
Hainan Gibbon,Pseudoryx nghetinhensis,3787,12.28,17.37,8,7,Low,56.07,83.49
Saola,Gorilla beringei beringei,2738,25.35,89.86,8,2,Low,71.12,27.21
Hooded Grebe,Rhinoceros sondaicus,4651,10.44,57.47,2,9,Low,59.8,89.12
Yangtze Giant Softshell Turtle,Podiceps gallardoi,3970,5.29,47.26,1,7,Medium,76.43,73.76
Saola,Nomascus hainanus,751,15.37,47.04,6,3,Medium,71.47,93.24
Hooded Grebe,Ambystoma mexicanum,601,6.6,87.18,7,7,High,69.14,90.75
Axolotl,Pseudoryx nghetinhensis,759,12.25,62.79,6,5,Medium,34.37,50.04
Hainan Gibbon,Pholidota,2229,21.09,23.49,7,9,Low,33.97,87.69
Hooded Grebe,Phocoena sinus,847,12.37,45.85,8,6,Low,60.59,64.48
Hainan Gibbon,Rhinoceros sondaicus,3140,11.14,71.94,2,7,Low,11.28,32.41
Vaquita,Rhinoceros sondaicus,3491,8.89,43.87,1,4,Low,29.17,85.53
Saola,Gorilla beringei beringei,543,8.38,34.76,8,2,Low,74.92,91.73
Saola,Rafetus swinhoei,4470,18.15,89.3,8,4,High,38.76,26.68
Javan Rhino,Ambystoma mexicanum,4472,22.04,84.85,8,9,High,25.24,93.51
Saola,Rafetus swinhoei,1783,16.32,85.32,7,3,Low,40.73,67.5
Vaquita,Nomascus hainanus,2353,8.09,20.53,2,7,High,26.64,22.05
Javan Rhino,Rhinoceros sondaicus,2663,21.19,28.74,4,4,Medium,62.62,62.8
Hainan Gibbon,Ambystoma mexicanum,2580,18.93,45.37,9,3,Medium,68.8,82.94
Mountain Gorilla,Gorilla beringei beringei,274,14.53,76.57,8,5,Low,63.7,62.12
Hooded Grebe,Rafetus swinhoei,3605,13.25,68.95,4,2,High,16.18,75.87
Amur Leopard,Podiceps gallardoi,2044,9.58,77.97,8,4,Low,30.2,89.49
Hainan Gibbon,Ambystoma mexicanum,3212,8.66,83.66,6,7,High,21.05,88.71
Vaquita,Ambystoma mexicanum,391,13.47,72.46,9,2,Low,8.21,34.13
Hainan Gibbon,Pseudoryx nghetinhensis,3306,6.04,30.94,1,6,Low,60.44,53.74
Amur Leopard,Podiceps gallardoi,1176,15.92,32.84,6,5,Low,37.13,28.78
Vaquita,Panthera pardus orientalis,2488,20.04,38.2,4,3,Medium,25.75,67.01
Saola,Ambystoma mexicanum,398,28.54,34.25,3,5,High,28.06,95.42
Hainan Gibbon,Rhinoceros sondaicus,2081,20.65,29.93,5,7,High,15.13,34.37
Hooded Grebe,Gorilla beringei beringei,404,20.6,70.2,8,3,Medium,67.01,51.89
Axolotl,Nomascus hainanus,3667,14.36,12.72,6,8,Medium,15.79,95.37
Saola,Pholidota,3266,8.33,68.27,1,7,High,30.37,79.26
Saola,Podiceps gallardoi,4029,16.17,75.89,6,4,High,5.55,25.62
Mountain Gorilla,Phocoena sinus,2249,19.97,15.28,7,5,Low,37.73,53.84
Axolotl,Pholidota,4826,23.1,14.95,6,4,Low,31.61,98.04
Pangolin,Pholidota,2869,25.65,32.84,3,2,High,58.93,55.81
Axolotl,Rhinoceros sondaicus,2403,11.4,26.66,9,9,High,58.65,69.72
Mountain Gorilla,Rafetus swinhoei,4578,11.03,56.49,4,1,Low,7.9,75.38
Yangtze Giant Softshell Turtle,Pholidota,2060,19.13,64.04,5,8,Medium,13.69,72.45
Amur Leopard,Gorilla beringei beringei,3131,19.15,60.73,5,4,High,72.85,60.98
Mountain Gorilla,Pholidota,934,10.45,38.59,3,9,High,64.38,30.49
Yangtze Giant Softshell Turtle,Rafetus swinhoei,4981,19.69,49.87,2,3,Medium,34.21,75.96
Javan Rhino,Pseudoryx nghetinhensis,3585,13.65,61.2,8,7,Medium,17.48,93.73
Saola,Ambystoma mexicanum,3292,20.98,19.55,7,3,Medium,24.56,94.39
Pangolin,Panthera pardus orientalis,3761,12.28,28.36,5,7,High,54.35,66.88
Mountain Gorilla,Rhinoceros sondaicus,3364,19.81,81.24,1,2,High,75.91,58.88
Hooded Grebe,Pseudoryx nghetinhensis,4484,24.21,37.39,1,3,High,51.18,46.38
Pangolin,Gorilla beringei beringei,3407,29.5,74.09,8,8,Low,6.98,28.18
Javan Rhino,Gorilla beringei beringei,3778,27.78,30.08,4,7,Medium,53.8,89.77
Vaquita,Rafetus swinhoei,4230,17.59,13.33,4,3,Medium,75.86,30.83
Hooded Grebe,Nomascus hainanus,2991,17.21,50.03,9,8,Low,31.9,42.75
Vaquita,Rhinoceros sondaicus,4585,15.94,81.4,2,9,Low,75.02,78.49
Hooded Grebe,Rhinoceros sondaicus,3482,5.69,75.54,5,2,Low,55.3,75.68
Pangolin,Pseudoryx nghetinhensis,2627,9.15,30.24,6,2,Low,19.24,73.8
Hooded Grebe,Pholidota,3509,6.48,82.79,6,7,Medium,15.9,78.59
Pangolin,Ambystoma mexicanum,3602,22.41,48.38,3,8,Low,18.22,62.82
Amur Leopard,Pholidota,441,15.33,13.92,6,5,Low,57.44,32.24
Vaquita,Nomascus hainanus,1122,6.59,12.23,5,2,Medium,49.21,98.87
Hainan Gibbon,Podiceps gallardoi,4706,22.26,48.81,8,5,Medium,39.17,90.48
Javan Rhino,Podiceps gallardoi,4961,21.11,53.71,4,3,Medium,24.75,54.06
Hooded Grebe,Phocoena sinus,2063,23.0,16.39,3,9,Medium,73.04,61.9
Pangolin,Pseudoryx nghetinhensis,4263,20.0,83.78,6,2,High,21.03,51.09
Javan Rhino,Rafetus swinhoei,4328,9.04,67.46,9,9,High,26.27,70.4
Yangtze Giant Softshell Turtle,Nomascus hainanus,2459,6.53,74.1,8,2,High,9.12,77.76
Axolotl,Ambystoma mexicanum,554,25.43,56.72,8,1,High,25.65,38.29
Hooded Grebe,Rhinoceros sondaicus,3168,10.4,63.08,3,6,Medium,74.22,54.19
Mountain Gorilla,Gorilla beringei beringei,2638,18.56,41.03,1,6,High,19.07,70.58
Saola,Nomascus hainanus,3461,17.13,64.34,3,4,Low,20.3,98.05
Hainan Gibbon,Ambystoma mexicanum,547,28.03,88.25,3,2,Low,50.0,45.67
Amur Leopard,Nomascus hainanus,1446,18.81,61.82,6,3,Low,47.52,78.86
Pangolin,Pholidota,2825,19.5,37.33,3,6,High,18.2,47.39
Pangolin,Phocoena sinus,3775,12.99,32.82,2,4,High,16.57,27.29
Axolotl,Ambystoma mexicanum,3072,28.97,87.07,9,5,Low,13.77,80.84
Axolotl,Pholidota,269,20.31,24.8,6,9,High,69.58,71.3
Hainan Gibbon,Pseudoryx nghetinhensis,4931,5.12,74.5,5,5,Medium,54.08,60.63
Hooded Grebe,Gorilla beringei beringei,4421,18.9,47.22,3,8,High,76.51,73.33
Vaquita,Rafetus swinhoei,4851,14.1,45.5,7,2,Low,17.44,89.46
Axolotl,Phocoena sinus,728,5.8,69.8,7,6,Low,39.55,79.76
Yangtze Giant Softshell Turtle,Ambystoma mexicanum,2737,15.79,21.84,4,6,High,60.73,87.77
Axolotl,Ambystoma mexicanum,2911,24.34,47.3,2,5,High,21.02,42.91
Mountain Gorilla,Panthera pardus orientalis,470,17.59,12.87,2,6,Low,56.35,83.24
Yangtze Giant Softshell Turtle,Pholidota,2864,20.99,63.63,8,5,Low,40.54,48.44
Vaquita,Rhinoceros sondaicus,4077,20.99,14.67,4,2,High,37.31,21.63
Mountain Gorilla,Pseudoryx nghetinhensis,1712,21.78,16.98,7,5,High,53.37,23.41
Mountain Gorilla,Pseudoryx nghetinhensis,3257,14.69,77.59,3,1,Low,40.08,77.7
Hainan Gibbon,Ambystoma mexicanum,2987,14.25,45.44,9,3,Low,66.5,41.48
Axolotl,Pseudoryx nghetinhensis,1824,5.11,26.08,9,7,Low,74.79,44.3
Javan Rhino,Phocoena sinus,3490,8.86,57.41,7,4,Low,49.16,69.18
Yangtze Giant Softshell Turtle,Rafetus swinhoei,1751,28.77,51.54,7,8,Low,27.54,78.58
Amur Leopard,Podiceps gallardoi,4081,26.06,42.87,1,3,Low,63.29,64.15
Javan Rhino,Rafetus swinhoei,39,11.88,82.43,8,7,Low,17.79,75.8
Saola,Rafetus swinhoei,3503,15.03,69.96,2,2,High,12.12,94.34
Amur Leopard,Rafetus swinhoei,991,28.5,22.13,8,8,Medium,43.9,87.48
Hooded Grebe,Panthera pardus orientalis,240,11.26,55.66,2,3,Medium,53.51,39.02
Vaquita,Rhinoceros sondaicus,2786,18.31,17.1,1,6,High,67.62,91.64
Hainan Gibbon,Podiceps gallardoi,1261,5.55,29.57,8,2,Medium,76.64,43.48
Javan Rhino,Podiceps gallardoi,4504,20.49,82.79,4,7,High,70.5,72.19
Axolotl,Rafetus swinhoei,4200,28.25,46.97,6,4,High,79.15,89.1
Vaquita,Podiceps gallardoi,1973,27.12,81.37,1,6,High,40.68,69.25
Mountain Gorilla,Ambystoma mexicanum,4580,17.55,23.28,9,2,High,28.74,83.69
Yangtze Giant Softshell Turtle,Phocoena sinus,3176,21.24,26.43,7,3,Medium,39.48,93.26
Saola,Rhinoceros sondaicus,1788,19.24,38.23,5,3,High,53.31,96.39
Hainan Gibbon,Pseudoryx nghetinhensis,4880,6.67,39.31,6,4,Low,43.04,52.44
Mountain Gorilla,Phocoena sinus,1157,8.97,69.62,3,1,High,52.56,98.43
Vaquita,Ambystoma mexicanum,2857,29.1,57.95,9,6,Medium,71.5,41.46
Yangtze Giant Softshell Turtle,Panthera pardus orientalis,3860,11.4,54.26,2,6,Medium,17.44,56.51
Saola,Rhinoceros sondaicus,3001,14.61,58.19,1,4,Medium,14.02,80.1
Mountain Gorilla,Panthera pardus orientalis,3080,17.72,68.58,1,8,Medium,42.39,96.64
Saola,Nomascus hainanus,630,29.48,81.43,2,5,Low,78.63,24.18
Vaquita,Gorilla beringei beringei,973,22.25,43.18,6,4,High,9.43,94.71
Axolotl,Panthera pardus orientalis,2870,20.74,74.23,6,7,Low,78.99,98.9
Pangolin,Pholidota,2152,18.11,49.61,9,8,High,77.58,91.86
Hooded Grebe,Gorilla beringei beringei,1510,22.52,67.77,4,2,High,26.94,28.56
Hooded Grebe,Rafetus swinhoei,3199,21.6,79.99,8,1,Low,71.83,86.42
Mountain Gorilla,Rafetus swinhoei,1336,27.57,12.58,4,6,Low,5.58,70.54
Mountain Gorilla,Phocoena sinus,131,18.55,53.73,3,2,Medium,39.05,20.75
Hooded Grebe,Ambystoma mexicanum,4323,15.54,89.15,4,8,High,35.16,97.77
